iter	Passed	Remaining
159	209	1100
160	209	1093
161	210	1087
162	210	1080
163	210	1074
164	211	1068
165	211	1061
166	211	1055
167	211	1049
168	212	1043
169	212	1037
170	212	1031
171	213	1025
172	213	1019
173	213	1013
174	213	1007
175	214	1002
176	214	996
177	214	990
178	214	985
179	215	979
180	215	974
181	215	969
182	215	963
183	216	958
184	216	953
185	216	948
186	216	943
187	217	938
188	217	933
189	217	928
190	217	923
191	218	918
192	218	913
193	218	908
194	219	904
195	219	899
196	219	894
197	219	890
198	220	885
199	220	881
200	220	876
201	220	872
202	221	868
203	221	864
204	221	859
205	222	855
206	222	851
207	222	847
208	223	844
209	223	840
210	223	836
211	224	832
212	224	828
213	224	824
214	224	821
215	225	817
216	225	813
217	225	809
218	226	806
219	226	802
220	226	798
221	226	795
222	227	791
223	227	788
224	227	784
225	227	780
226	228	777
227	228	774
228	228	770
229	229	767
230	229	764
231	229	760
232	230	757
233	230	754
234	230	750
235	230	747
236	231	744
237	231	740
238	231	737
239	232	734
240	232	731
241	232	728
242	232	725
243	233	722
244	233	719
245	233	716
246	233	713
247	234	710
248	234	707
249	234	704
250	235	701
251	235	698
252	235	695
253	236	693
254	236	690
255	236	688
256	237	685
257	237	683
258	237	680
259	238	677
260	238	674
261	238	672
262	238	669
263	239	666
264	239	664
265	239	661
266	240	659
267	240	656
268	240	654
269	241	651
270	241	649
271	241	646
272	241	644
273	242	641
274	242	639
275	242	636
276	242	634
277	243	631
278	243	629
279	243	626
280	243	624
281	244	621
282	244	619
283	244	617
284	245	614
285	245	612
286	245	610
287	245	607
288	246	605
289	246	603
290	246	600
291	246	598
292	247	596
293	247	594
294	247	591
295	247	589
296	248	587
297	248	585
298	248	583
299	248	580
300	249	578
301	249	576
302	249	574
303	250	572
304	250	571
305	250	569
306	251	567
307	251	565
308	251	562
309	252	560
310	252	558
311	252	556
312	252	554
313	253	552
314	253	550
315	253	548
316	253	546
317	254	545
318	254	543
319	254	541
320	254	539
321	255	537
322	255	535
323	255	533
324	255	531
325	256	529
326	256	527
327	256	526
328	257	524
329	257	522
330	257	520
331	257	518
332	258	517
333	258	515
334	258	513
335	259	511
336	259	510
337	259	508
338	259	506
339	260	505
340	260	503
341	260	501
342	260	499
343	261	498
344	261	496
345	261	494
346	262	493
347	262	491
348	262	489
349	262	488
350	263	486
351	263	484
352	263	483
353	264	482
354	264	480
355	264	479
356	265	477
357	265	476
358	265	474
359	265	472
360	266	471
361	266	469
362	266	468
363	267	466
364	267	464
365	267	463
366	267	461
367	268	460
368	268	458
369	268	457
370	268	455
371	269	454
372	269	452
373	269	451
374	269	449
375	270	448
376	270	446
377	270	445
378	270	443
379	271	442
380	271	440
381	271	439
382	271	438
383	272	436
384	272	435
385	272	433
386	273	432
387	273	431
388	273	429
389	273	428
390	274	426
391	274	425
392	274	424
393	274	422
394	275	421
395	275	420
396	275	418
397	275	417
398	276	416
399	276	414
400	276	413
401	277	412
402	277	411
403	277	409
404	278	408
405	278	407
406	278	405
407	278	404
408	279	403
409	279	402
410	279	400
411	279	399
412	280	398
413	280	397
414	280	395
415	281	394
416	281	393
417	281	392
418	281	390
419	282	389
420	282	388
421	282	387
422	282	385
423	283	384
424	283	383
425	283	382
426	284	381
427	284	379
428	284	378
429	284	377
430	285	376
431	285	375
432	285	374
433	286	373
434	286	371
